state_of_health,state_of_charge,cycle_count,current_amps,temperature_cell,charge_rate_kw,is_charging,internal_resistance,action_voltage,action_current,dT_dt,dV_dt,thermal_stress_index,aging_indicator,charging_efficiency,charging_time,cycle_degradation,balancing_time
76.22,24.37,1769,244.44,50.19,47.23,1,0.0382,395.18,121.23,0.173,-0.0078,0.532,0.505,0.857,89.33,0.4423,21.94
83.72,67.53,1750,221.09,46.62,46.66,0,0.0086,407.42,237.82,0.33,0.0255,0.562,0.5,0.974,156.86,0.4375,16.28
70.82,58.94,3240,229.39,30.53,75.25,1,0.0305,430.08,95.96,0.599,-0.0422,0.521,0.926,0.947,91.54,0.81,0.27
69.67,61.85,2934,187.06,36.02,120.17,0,0.0451,322.69,178.74,-0.322,0.0152,0.461,0.838,0.823,168.47,0.7335,22.53
64.21,72.17,3365,195.32,54.93,104.77,1,0.0292,373.63,171.79,1.09,-0.0466,0.943,0.961,0.984,69.58,0.8413,12.97
86.64,91.19,948,109.34,52.96,45.43,0,0.0162,400.66,230.22,-0.099,0.0314,0.528,0.271,0.952,19.52,0.237,10.45
67.85,67.97,2462,157.2,61.41,85.64,0,0.0367,333.84,226.07,-0.309,-0.0418,0.69,0.703,0.936,83.69,0.6155,14.91
77.41,69.86,1743,34.58,64.12,30.13,1,0.0127,395.59,12.56,0.882,0.0027,0.945,0.498,0.876,168.86,0.4358,26.33
70.56,27.28,2322,91.55,52.42,119.62,0,0.042,375.19,154.54,1.315,0.0239,1.01,0.663,0.922,54.26,0.5805,11.24
70.9,53.2,2028,136.24,57.31,114.63,1,0.0435,397.8,140.87,0.963,-0.0299,0.914,0.579,0.838,162.21,0.507,21.65
81.99,20.62,1997,214.38,26.98,38.57,0,0.0244,403.83,158.17,0.219,0.0042,0.337,0.571,0.95,123.76,0.4993,6.51
85.75,42.56,1059,125.98,20.4,25.78,0,0.0415,443.05,21.18,-0.148,-0.0168,0.248,0.303,0.841,168.82,0.2647,19.47
90.47,82.71,373,37.99,34.95,11.2,0,0.0466,367.26,73.73,0.187,0.0,0.397,0.107,0.924,87.85,0.0932,16.95
75.1,13.37,1992,12.33,57.53,34.33,0,0.0245,326.07,97.45,1.464,-0.032,1.117,0.569,0.899,69.23,0.498,10.85
93.81,39.81,555,41.16,42.27,57.34,0,0.0103,340.17,105.58,-0.25,-0.0146,0.49,0.159,0.829,29.15,0.1388,25.52
58.58,17.87,3198,243.23,64.76,44.55,1,0.0484,351.15,138.67,1.425,-0.0225,1.168,0.914,0.924,65.59,0.7995,3.44
90.74,71.28,47,133.54,58.84,53.91,1,0.0211,401.36,248.99,0.739,-0.0039,0.839,0.013,0.829,165.95,0.0118,1.72
80.8,23.48,1813,109.93,49.92,72.04,0,0.0156,399.03,214.98,0.388,0.0471,0.616,0.518,0.966,64.63,0.4532,5.13
74.99,53.17,2262,63.43,41.38,66.0,0,0.0389,322.21,25.76,0.6,-0.0041,0.622,0.646,0.928,160.91,0.5655,27.46
67.01,19.16,3430,90.03,47.47,12.06,0,0.0233,305.21,135.74,1.223,-0.0238,0.927,0.98,0.951,116.48,0.8575,27.78
75.46,84.15,1621,44.16,50.63,54.05,1,0.0467,430.45,231.84,-0.313,0.0441,0.593,0.463,0.818,98.37,0.4052,21.05
85.18,75.1,1090,161.4,60.21,102.2,0,0.0064,332.97,134.78,0.531,0.0344,0.768,0.311,0.914,92.93,0.2725,28.21
89.19,50.48,272,54.17,60.95,88.25,1,0.0183,391.77,84.79,0.446,-0.0409,0.741,0.078,0.938,148.24,0.068,2.29
65.68,99.9,2780,241.57,52.92,97.0,1,0.0469,337.7,246.12,0.922,-0.0413,0.857,0.794,0.893,22.04,0.695,14.78
72.12,73.26,2865,115.73,49.19,82.7,0,0.0181,313.68,15.16,0.512,0.047,0.659,0.819,0.974,159.86,0.7163,10.52
70.12,23.81,2918,197.94,24.26,148.11,0,0.045,395.61,81.41,0.815,-0.0361,0.55,0.834,0.82,21.49,0.7295,27.78
92.95,19.58,110,209.88,40.05,19.07,1,0.0362,320.53,129.67,0.2,-0.0426,0.45,0.031,0.861,112.41,0.0275,6.19
86.53,79.74,1700,5.31,27.84,72.57,0,0.0137,352.61,22.12,0.344,-0.0365,0.395,0.486,0.958,134.56,0.425,4.9
74.19,71.18,2383,122.76,58.52,113.42,1,0.013,368.79,56.89,-0.284,0.0241,0.654,0.681,0.97,70.5,0.5958,0.1
73.04,53.12,2888,139.07,47.66,51.85,0,0.0145,429.08,158.43,0.233,-0.0311,0.533,0.825,0.949,98.51,0.722,23.06
96.24,97.61,476,126.43,34.33,31.62,1,0.0133,372.88,22.21,0.03,-0.0438,0.329,0.136,0.902,94.77,0.119,25.04
95.37,41.22,583,221.85,33.08,71.6,0,0.0125,404.56,76.12,1.063,-0.0454,0.731,0.167,0.846,57.13,0.1457,3.92
85.44,67.36,1175,131.41,43.84,52.58,1,0.0258,357.8,73.53,0.582,-0.0216,0.637,0.336,0.884,66.5,0.2938,9.64
70.2,33.27,3373,137.73,30.64,33.95,1,0.0268,358.11,166.46,0.536,0.044,0.497,0.964,0.849,104.74,0.8433,27.7
88.74,66.16,1397,143.94,29.47,83.09,0,0.0131,389.17,231.8,1.476,0.0005,0.862,0.399,0.845,171.4,0.3493,27.9
81.2,71.45,660,113.17,61.07,37.79,0,0.0429,322.5,27.16,0.783,0.0473,0.877,0.189,0.962,36.49,0.165,4.82
63.83,55.17,3428,136.75,47.42,73.39,1,0.0381,430.64,247.13,0.691,0.0382,0.714,0.979,0.866,103.06,0.857,11.37
70.04,24.25,3333,84.57,45.56,94.99,0,0.0149,439.51,31.32,-0.203,0.021,0.502,0.952,0.951,45.22,0.8333,4.88
71.68,28.18,3255,40.16,29.99,70.81,1,0.0245,374.63,107.82,0.245,-0.032,0.375,0.93,0.872,168.75,0.8137,4.38
87.22,26.79,799,96.06,34.26,8.38,0,0.0466,389.05,204.04,-0.269,-0.0209,0.424,0.228,0.978,113.65,0.1998,8.14
92.74,90.32,1061,18.3,29.68,23.19,0,0.0083,347.42,215.4,0.881,0.0491,0.626,0.303,0.962,157.92,0.2652,2.68
63.13,64.77,3257,232.22,60.64,98.82,0,0.0287,392.8,57.24,0.937,0.0439,0.935,0.931,0.874,165.21,0.8143,12.18
92.25,21.78,131,182.56,21.37,107.42,0,0.0477,367.99,179.63,-0.439,-0.0433,0.373,0.037,0.945,62.06,0.0328,7.44
70.19,38.35,3012,5.13,52.67,16.12,0,0.0163,447.86,83.63,0.766,-0.0466,0.793,0.861,0.949,67.19,0.753,28.0
76.08,87.03,2555,153.6,33.69,13.7,0,0.03,337.95,86.35,0.186,0.0283,0.385,0.73,0.841,28.91,0.6388,4.81
96.48,29.91,626,125.38,32.79,27.94,1,0.0051,389.43,227.64,-0.323,-0.0428,0.432,0.179,0.835,49.99,0.1565,11.6
83.97,41.86,1071,232.85,52.9,34.31,0,0.0234,440.4,61.89,0.055,-0.0275,0.51,0.306,0.861,98.22,0.2677,21.51
92.43,50.59,132,211.16,30.15,15.79,0,0.0465,359.57,102.72,0.558,0.0145,0.502,0.038,0.93,82.88,0.033,2.85
90.13,93.94,195,190.9,42.05,71.82,1,0.0457,322.75,210.53,0.46,-0.0295,0.572,0.056,0.981,35.63,0.0488,0.83
94.69,58.43,570,43.42,35.3,143.87,1,0.0163,411.01,19.55,-0.282,0.0461,0.439,0.163,0.867,164.08,0.1425,7.46
82.97,20.39,1480,180.06,41.51,78.23,1,0.031,420.74,142.25,1.145,0.0336,0.841,0.423,0.987,36.52,0.37,15.38
87.38,90.73,1416,197.48,20.09,82.9,1,0.021,391.62,237.55,1.4,-0.0015,0.745,0.405,0.971,81.23,0.354,4.21
77.31,67.7,2196,113.62,46.87,74.68,0,0.0226,377.2,95.42,0.709,0.0161,0.716,0.627,0.985,41.37,0.549,10.7
65.71,54.4,3412,162.19,32.98,15.46,0,0.0496,371.19,23.5,1.038,-0.0348,0.72,0.975,0.976,34.98,0.853,28.64
91.72,45.38,291,62.96,32.44,134.85,0,0.0422,412.14,171.03,-0.323,0.0451,0.429,0.083,0.828,118.13,0.0727,6.01
83.35,56.79,1386,97.72,45.09,131.27,1,0.0253,375.31,194.61,0.259,-0.0293,0.52,0.396,0.842,128.81,0.3465,27.98
71.22,54.16,3383,123.51,45.8,3.49,1,0.0061,378.31,124.18,0.805,0.0098,0.745,0.967,0.913,138.41,0.8458,20.38
91.26,71.59,314,6.06,34.33,83.51,1,0.044,428.23,68.38,1.038,-0.0349,0.732,0.09,0.857,155.71,0.0785,11.3
70.57,78.41,2890,134.99,58.43,143.39,1,0.0106,418.97,234.89,0.626,-0.033,0.79,0.826,0.945,140.94,0.7225,22.36
79.87,90.67,2558,50.52,36.32,23.59,0,0.0099,424.9,143.84,-0.354,-0.0124,0.477,0.731,0.904,102.49,0.6395,23.59
87.42,36.22,953,119.5,29.32,91.24,1,0.0385,405.58,114.55,-0.105,0.0311,0.313,0.272,0.916,92.95,0.2383,21.52
69.1,49.73,2926,178.3,33.06,125.52,0,0.0497,339.58,52.55,1.278,0.0128,0.816,0.836,0.816,162.5,0.7315,4.16
71.79,87.06,2245,16.94,63.94,61.01,1,0.0202,317.12,16.76,0.338,0.0473,0.725,0.641,0.825,95.05,0.5613,1.0
76.63,30.47,1686,113.29,56.67,113.8,0,0.0293,407.7,180.6,0.847,-0.0284,0.862,0.482,0.825,120.37,0.4215,25.06
59.95,63.68,3466,41.3,51.99,3.64,1,0.0491,372.59,118.16,0.968,0.0284,0.867,0.99,0.866,179.03,0.8665,13.63
77.88,75.86,1910,218.14,33.84,21.34,1,0.0467,399.73,229.83,0.93,0.0437,0.684,0.546,0.835,177.02,0.4775,19.26
74.3,97.65,3372,26.66,20.0,121.26,1,0.0084,331.59,229.51,-0.029,0.0121,0.196,0.963,0.987,26.85,0.843,5.47
81.77,19.32,763,225.78,56.88,4.9,1,0.0403,370.13,199.25,1.274,-0.0016,1.035,0.218,0.834,93.22,0.1908,16.93
82.77,47.83,1450,117.28,50.26,21.32,1,0.0197,436.99,18.96,-0.412,-0.0081,0.629,0.414,0.964,40.8,0.3625,2.72
85.12,71.19,2058,158.71,24.12,127.87,0,0.006,365.16,147.36,0.467,-0.0166,0.409,0.588,0.927,125.15,0.5145,24.92
84.52,91.35,1643,132.47,44.17,126.26,1,0.0124,365.97,152.29,-0.177,0.0175,0.479,0.469,0.964,115.68,0.4108,27.69
84.93,39.02,730,22.17,54.89,54.85,1,0.03,395.1,55.71,-0.46,-0.0076,0.691,0.209,0.913,47.31,0.1825,16.7
81.37,32.37,1536,13.49,56.65,69.59,1,0.0119,389.73,216.3,-0.293,-0.0101,0.64,0.439,0.844,108.41,0.384,18.43
83.63,64.01,1743,180.41,23.48,59.95,0,0.0264,373.88,20.29,0.653,0.04,0.478,0.498,0.951,107.44,0.4358,7.19
82.7,79.79,1609,19.67,20.62,33.55,0,0.0362,340.69,11.55,0.852,-0.0042,0.531,0.46,0.937,129.66,0.4022,6.81
76.62,23.44,2195,72.88,30.83,148.07,1,0.0439,408.62,217.02,0.805,0.028,0.607,0.627,0.987,59.13,0.5487,26.03
75.07,34.41,1896,15.84,51.58,5.05,1,0.0364,437.44,76.76,-0.295,0.0189,0.594,0.542,0.83,101.29,0.474,19.73
95.14,27.45,320,34.59,25.71,29.46,1,0.0247,426.68,103.97,1.154,-0.0186,0.699,0.091,0.879,101.37,0.08,23.47
68.45,31.09,3118,81.4,23.88,109.23,1,0.0468,400.09,108.63,0.21,-0.0161,0.304,0.891,0.919,169.45,0.7795,7.86
85.23,46.72,864,95.16,58.46,77.7,0,0.0188,408.56,151.05,0.948,-0.0366,0.919,0.247,0.979,152.93,0.216,7.75
81.88,37.68,1325,152.33,51.49,148.1,0,0.027,320.64,194.49,1.339,-0.0021,1.011,0.379,0.944,85.42,0.3312,10.88
65.57,27.99,3007,59.62,52.46,123.48,1,0.0384,365.06,222.09,-0.445,-0.0008,0.662,0.859,0.849,87.85,0.7518,27.81
76.31,11.29,1930,73.1,56.4,133.97,0,0.0229,383.08,175.83,0.078,0.0375,0.552,0.551,0.915,104.19,0.4825,24.52
83.0,36.77,1176,38.24,53.15,32.44,1,0.0237,386.24,164.55,-0.347,-0.0163,0.629,0.336,0.864,163.45,0.294,18.76
87.84,77.69,721,80.33,22.63,70.39,0,0.0459,336.77,94.58,1.024,-0.0213,0.618,0.206,0.93,114.1,0.1802,10.63
87.79,50.39,1591,93.83,33.07,14.04,0,0.0096,414.87,231.49,0.15,0.0459,0.365,0.455,0.811,146.42,0.3977,8.69
91.89,76.07,237,193.16,23.36,135.59,0,0.0446,364.49,238.56,0.392,-0.0136,0.372,0.068,0.901,170.84,0.0593,4.0
76.02,94.42,2760,245.66,37.75,54.28,1,0.0194,393.82,108.22,1.29,0.0332,0.864,0.789,0.935,43.62,0.69,16.06
86.63,44.46,229,184.94,58.98,123.28,1,0.0361,363.34,17.63,0.808,0.0399,0.868,0.065,0.96,154.64,0.0573,22.57
82.44,52.57,737,71.6,62.73,44.03,1,0.0306,391.28,198.12,0.665,-0.0152,0.845,0.211,0.926,145.9,0.1842,24.48
84.71,30.84,901,162.79,50.09,89.01,0,0.0318,302.11,136.92,-0.387,-0.0273,0.617,0.257,0.936,97.17,0.2253,26.85
91.61,81.22,248,184.2,39.92,119.0,1,0.039,372.16,127.42,1.489,-0.005,0.964,0.071,0.957,99.3,0.062,17.56
81.82,21.87,1713,220.4,23.43,17.84,1,0.0354,399.21,91.65,-0.305,0.0345,0.338,0.489,0.869,135.92,0.4283,24.67
69.49,63.36,2768,242.58,48.76,60.11,0,0.0356,301.24,180.43,-0.045,-0.0443,0.468,0.791,0.962,133.27,0.692,3.49
78.88,45.81,2454,168.63,29.72,68.48,0,0.0201,373.33,244.9,-0.061,0.0156,0.299,0.701,0.845,164.19,0.6135,21.45
80.54,33.12,1862,73.57,54.35,103.61,1,0.0079,392.8,127.5,0.206,-0.0111,0.584,0.532,0.939,36.43,0.4655,17.31
70.6,31.33,3090,130.28,40.17,131.17,0,0.0298,437.4,113.32,0.167,0.0343,0.438,0.883,0.943,94.19,0.7725,2.99
71.21,52.54,2902,223.35,37.95,55.94,0,0.0359,421.29,74.74,0.969,0.0069,0.738,0.829,0.832,93.05,0.7255,12.54
66.85,35.83,2662,41.17,51.35,47.29,1,0.0482,360.3,170.46,0.113,-0.0498,0.519,0.761,0.898,176.97,0.6655,0.24
94.97,21.2,437,93.74,33.03,105.61,0,0.0225,327.79,165.54,-0.278,-0.0237,0.416,0.125,0.988,67.43,0.1092,28.73
90.42,70.62,1094,89.77,38.23,3.6,1,0.0121,311.93,190.94,0.243,-0.0379,0.45,0.313,0.855,21.64,0.2735,1.92
70.54,96.74,3245,41.96,27.02,101.86,1,0.0313,338.22,115.79,0.68,-0.0295,0.521,0.927,0.919,72.61,0.8113,3.15
94.57,32.73,91,197.46,39.49,48.73,1,0.031,323.15,86.38,0.457,0.025,0.547,0.026,0.947,74.61,0.0227,20.61
76.5,60.91,2037,85.54,20.93,138.58,1,0.0489,441.62,189.37,0.825,-0.031,0.523,0.582,0.857,19.23,0.5092,23.99
76.43,45.47,2224,62.01,39.34,107.56,1,0.0363,428.59,171.15,0.925,0.0296,0.733,0.635,0.929,15.89,0.556,28.2
93.56,19.11,278,85.51,27.56,60.76,1,0.0356,338.41,204.57,0.549,-0.0426,0.474,0.079,0.968,48.49,0.0695,24.04
95.22,50.96,277,238.31,37.91,41.51,1,0.0214,441.26,21.58,0.518,-0.0426,0.557,0.079,0.864,163.32,0.0693,20.03
92.32,85.04,693,120.73,22.95,124.85,1,0.0228,404.33,104.15,1.134,0.0266,0.665,0.198,0.807,149.04,0.1733,28.06
91.69,74.48,205,172.74,56.55,123.12,0,0.0146,371.07,205.25,0.273,0.0069,0.631,0.059,0.905,105.48,0.0513,21.07
67.44,37.02,2148,163.6,63.99,140.05,1,0.0475,345.04,133.67,1.021,0.0463,0.999,0.614,0.941,93.15,0.537,6.99
78.52,68.62,2375,95.74,33.75,71.8,0,0.0248,413.71,142.22,-0.174,0.023,0.381,0.679,0.826,107.23,0.5938,24.03
69.67,38.08,3450,83.78,37.62,48.7,1,0.0244,382.87,54.39,-0.012,-0.0176,0.352,0.986,0.979,129.3,0.8625,3.87
90.72,80.5,495,146.35,36.79,132.69,0,0.0365,376.61,177.14,0.09,0.0452,0.376,0.141,0.839,78.56,0.1237,18.26
86.16,36.35,421,90.89,53.49,140.04,1,0.0377,397.11,155.95,1.207,0.0226,0.977,0.12,0.871,174.69,0.1052,1.1
68.63,99.09,2675,37.85,52.13,104.16,1,0.0382,390.02,247.58,0.082,0.0134,0.514,0.764,0.938,49.4,0.6688,3.95
74.31,78.78,3079,140.02,31.88,50.19,0,0.019,300.55,60.61,0.973,-0.0225,0.683,0.88,0.913,105.94,0.7698,2.83
84.91,20.95,811,203.12,51.21,146.47,0,0.0332,444.98,71.26,-0.469,-0.0264,0.66,0.232,0.968,122.16,0.2028,4.82
74.93,61.49,2417,124.89,50.42,65.59,1,0.0198,376.09,39.08,1.284,0.0388,0.979,0.691,0.951,112.55,0.6043,11.82
70.43,11.17,3118,246.29,21.4,139.79,0,0.0353,424.46,114.68,0.804,0.0382,0.519,0.891,0.811,44.83,0.7795,0.69
85.83,44.88,1934,156.41,32.57,77.29,0,0.0069,439.42,124.16,-0.255,-0.0229,0.403,0.553,0.894,80.04,0.4835,8.7
87.41,88.24,1393,147.0,44.68,79.21,0,0.0071,414.85,211.36,0.809,-0.0388,0.736,0.398,0.961,83.14,0.3483,13.1
80.01,47.68,2718,123.54,31.58,48.06,1,0.006,339.74,86.68,-0.107,-0.0447,0.334,0.777,0.986,16.91,0.6795,26.45
88.52,69.51,220,239.53,55.58,82.49,0,0.032,352.92,224.61,0.353,0.0084,0.654,0.063,0.95,141.91,0.055,8.68
88.25,10.28,1136,196.54,42.05,46.25,1,0.0163,359.18,25.23,1.05,-0.0418,0.808,0.325,0.904,92.93,0.284,16.07
75.77,76.71,2104,31.09,41.24,124.36,0,0.0421,316.34,102.42,0.197,0.0235,0.459,0.601,0.966,69.88,0.526,12.66
91.68,61.97,655,91.71,31.83,147.28,1,0.0292,390.25,43.9,1.255,-0.0244,0.796,0.187,0.919,33.73,0.1638,19.63
84.57,31.23,453,73.46,50.0,48.77,1,0.0487,304.9,96.81,0.504,0.011,0.663,0.129,0.811,158.45,0.1133,20.49
68.58,13.14,2943,174.07,38.31,94.58,1,0.0476,316.0,115.85,1.359,-0.0114,0.897,0.841,0.88,79.13,0.7358,19.02
85.06,50.75,1120,141.76,26.38,28.32,0,0.0439,392.39,10.92,-0.284,0.0138,0.357,0.32,0.934,148.05,0.28,1.3
64.71,78.35,2782,185.29,63.01,95.04,1,0.0359,311.33,154.84,1.31,-0.0128,1.106,0.795,0.848,54.87,0.6955,4.62
80.64,20.71,1618,95.15,23.4,24.88,0,0.0448,344.86,24.38,-0.111,0.0445,0.26,0.462,0.847,147.4,0.4045,27.44
86.0,47.31,900,44.16,21.18,89.2,1,0.0477,307.86,48.45,-0.006,-0.03,0.198,0.257,0.913,80.2,0.225,10.76
75.66,94.32,2189,203.87,44.15,93.56,1,0.0339,371.45,65.22,1.344,0.0091,0.945,0.625,0.898,103.6,0.5473,8.06
68.7,52.19,2829,113.19,58.96,63.91,0,0.021,416.61,154.59,1.412,0.0283,1.109,0.808,0.906,88.05,0.7073,11.89
74.49,34.84,2523,119.93,39.92,131.35,0,0.0316,429.12,33.34,-0.081,-0.0394,0.401,0.721,0.823,84.9,0.6308,17.84
91.38,80.94,357,239.17,29.2,56.0,1,0.0434,328.61,161.96,1.338,0.0043,0.805,0.102,0.971,171.51,0.0892,26.12
83.91,84.5,1605,36.87,51.49,40.47,1,0.0051,407.39,105.0,1.4,0.0264,1.035,0.459,0.907,35.01,0.4012,7.81
81.46,17.15,1577,54.04,37.18,103.56,0,0.0394,387.07,248.54,-0.453,0.0316,0.524,0.451,0.869,74.55,0.3942,9.91
76.04,81.37,2179,101.37,29.79,62.06,0,0.0458,444.53,64.05,0.837,-0.0064,0.61,0.623,0.877,110.47,0.5447,23.78
75.02,58.31,2468,237.98,30.23,6.92,1,0.0392,355.06,171.3,-0.383,-0.0487,0.432,0.705,0.869,92.25,0.617,23.58
85.98,81.24,476,180.98,55.9,108.71,1,0.0333,341.84,21.91,0.992,-0.0034,0.913,0.136,0.907,94.21,0.119,10.06
73.78,81.51,2604,102.29,57.66,69.63,1,0.007,301.56,183.46,-0.325,-0.0273,0.662,0.744,0.937,132.58,0.651,2.02
81.2,66.92,1394,184.05,60.91,55.07,0,0.0128,304.86,15.86,1.322,-0.0009,1.091,0.398,0.894,62.45,0.3485,13.87
79.0,22.83,2586,218.26,37.45,52.32,0,0.01,435.46,92.85,-0.49,0.0471,0.542,0.739,0.809,148.24,0.6465,8.85
65.19,88.67,3018,142.46,63.27,91.28,1,0.0246,438.49,22.02,0.848,-0.0018,0.923,0.862,0.91,109.2,0.7545,13.14
75.93,21.48,1976,40.81,41.31,48.35,1,0.0451,385.32,23.28,1.222,-0.0066,0.87,0.565,0.882,139.31,0.494,4.97
84.6,17.9,1222,38.14,35.97,100.44,0,0.0398,390.08,152.84,-0.161,-0.0092,0.396,0.349,0.877,42.31,0.3055,17.98
76.38,82.19,2206,194.51,54.99,89.47,0,0.0131,428.58,127.82,0.298,0.009,0.627,0.63,0.881,132.3,0.5515,21.34
82.88,85.95,2269,196.6,22.12,7.49,0,0.0092,445.11,109.77,0.479,0.0469,0.396,0.648,0.959,102.87,0.5673,24.41
83.82,40.61,979,112.48,52.67,46.3,0,0.0296,415.71,199.88,1.385,0.0376,1.04,0.28,0.957,165.28,0.2447,22.99
67.86,63.26,3338,119.45,37.44,115.76,1,0.0375,389.96,178.63,0.667,-0.0016,0.612,0.954,0.933,167.36,0.8345,17.26
69.25,11.8,2823,68.17,50.99,26.94,1,0.0301,391.03,44.22,0.383,-0.0242,0.624,0.807,0.882,97.31,0.7057,11.0
81.91,55.99,1407,131.0,24.75,70.62,1,0.0483,373.37,33.61,0.489,0.039,0.424,0.402,0.942,105.11,0.3518,4.92
80.83,20.39,1308,158.18,46.1,106.56,1,0.0403,340.7,106.78,0.837,-0.0373,0.76,0.374,0.894,27.41,0.327,7.19
66.87,74.04,2999,66.26,57.74,5.02,0,0.024,357.58,215.73,1.441,0.0368,1.109,0.857,0.827,91.54,0.7498,22.05
80.59,68.8,1668,88.95,24.03,107.08,1,0.0439,418.59,211.74,0.269,0.0174,0.329,0.477,0.906,159.47,0.417,6.45
66.22,84.32,2770,225.72,49.72,44.6,1,0.0496,354.54,164.4,1.111,0.0218,0.903,0.791,0.904,128.09,0.6925,1.46
83.39,91.6,1269,135.18,41.97,129.33,0,0.0345,429.95,76.14,0.397,0.0022,0.546,0.363,0.845,76.66,0.3173,18.97
73.0,27.3,2951,131.43,48.74,148.49,1,0.0099,395.27,97.41,0.63,0.0371,0.702,0.843,0.903,134.67,0.7378,5.31
93.37,42.97,307,225.33,20.58,78.82,0,0.0344,398.81,26.39,0.945,0.0412,0.568,0.088,0.902,88.06,0.0767,11.02
96.07,55.6,315,173.64,45.36,51.09,1,0.006,408.83,121.72,0.027,-0.0099,0.43,0.09,0.966,22.72,0.0788,20.23
83.2,70.53,1023,58.08,63.96,103.25,0,0.0122,440.79,208.4,0.753,-0.0092,0.892,0.292,0.837,143.21,0.2558,4.71
81.97,11.41,2052,245.77,31.9,103.74,0,0.0203,321.48,81.9,0.431,0.0337,0.467,0.586,0.816,164.97,0.513,0.2
74.5,75.15,2095,228.49,47.64,130.41,1,0.0392,408.16,199.15,0.419,0.0412,0.607,0.599,0.964,131.35,0.5238,16.83
72.09,19.59,2694,29.49,43.08,67.02,0,0.032,396.38,173.63,-0.409,-0.0338,0.561,0.77,0.821,24.82,0.6735,10.23
75.05,28.88,2924,87.82,42.78,71.18,0,0.0099,314.16,88.98,0.035,0.0276,0.409,0.835,0.917,66.75,0.731,22.81
77.49,55.85,1031,41.45,63.24,16.59,0,0.0427,304.21,211.03,0.833,0.0272,0.917,0.295,0.916,177.97,0.2577,5.17
88.62,31.1,554,241.87,38.32,73.48,0,0.0425,422.09,234.92,0.762,-0.0246,0.659,0.158,0.85,168.81,0.1385,28.04
62.82,17.99,2968,104.68,62.21,80.23,1,0.0399,384.47,82.98,-0.438,-0.0088,0.749,0.848,0.903,115.7,0.742,1.8
74.66,24.02,2571,235.02,50.2,61.53,1,0.0156,378.35,114.19,-0.166,-0.0207,0.53,0.735,0.968,69.43,0.6428,15.79
98.37,26.18,390,167.53,29.1,36.64,0,0.0065,371.72,85.94,0.648,0.029,0.528,0.111,0.93,65.54,0.0975,17.62
93.61,53.62,72,36.35,40.35,28.07,0,0.0338,410.58,130.7,0.534,0.0217,0.586,0.021,0.849,59.2,0.018,6.08
68.3,20.14,3078,200.29,55.37,136.03,1,0.0173,434.73,117.33,0.449,-0.0066,0.691,0.879,0.831,104.02,0.7695,26.79
78.28,49.61,2337,163.22,31.81,123.83,0,0.0291,414.29,240.33,1.495,-0.0134,0.892,0.668,0.932,33.39,0.5843,9.1
69.71,87.97,3375,26.11,26.74,134.84,0,0.0312,359.65,140.47,-0.44,-0.0039,0.423,0.964,0.982,107.46,0.8438,17.91
82.3,93.45,430,82.85,60.01,69.45,1,0.0462,389.49,145.17,-0.066,0.0433,0.58,0.123,0.828,34.93,0.1075,11.9
96.44,22.0,373,200.4,39.55,109.52,0,0.0096,344.26,163.88,1.317,-0.0206,0.892,0.107,0.902,68.65,0.0932,10.78
66.6,94.31,3341,109.85,62.16,68.02,0,0.0055,391.94,191.53,1.411,0.0072,1.138,0.955,0.86,41.58,0.8353,6.39
79.06,61.31,1604,152.83,40.48,74.44,1,0.0468,340.31,91.2,1.424,0.0262,0.943,0.458,0.964,45.8,0.401,22.05
83.04,18.97,1845,241.83,38.81,25.46,1,0.0194,320.31,120.72,0.458,-0.0291,0.541,0.527,0.942,169.78,0.4612,2.24
84.91,95.4,1644,214.95,35.31,68.85,1,0.0234,339.93,245.98,-0.419,0.0006,0.494,0.47,0.944,65.34,0.411,14.6
88.56,18.14,1107,197.37,45.82,32.94,0,0.0114,418.26,185.43,0.265,-0.0478,0.529,0.316,0.979,40.43,0.2767,23.65
68.65,71.63,2795,73.34,46.68,47.88,1,0.0395,400.45,62.86,-0.126,-0.0091,0.481,0.799,0.806,27.49,0.6987,21.07
84.67,43.8,1186,75.37,38.64,112.64,1,0.0369,443.12,114.69,0.844,-0.0066,0.694,0.339,0.876,135.89,0.2965,20.28
90.42,32.62,1011,17.07,24.86,116.36,0,0.0213,411.7,12.83,1.162,-0.0339,0.694,0.289,0.921,144.15,0.2528,24.22
79.55,61.92,1756,65.83,21.49,24.56,0,0.0466,449.1,34.56,0.793,0.0214,0.516,0.502,0.973,31.33,0.439,4.99
87.77,95.14,730,88.53,24.02,29.23,1,0.0443,325.45,238.67,0.819,-0.0065,0.549,0.209,0.823,167.61,0.1825,2.82
81.79,35.36,1178,32.66,63.53,124.1,1,0.0134,407.43,95.97,0.961,0.0475,0.971,0.337,0.818,33.89,0.2945,9.44
67.42,13.17,3459,33.99,31.58,18.45,0,0.0369,348.81,45.78,0.195,0.0234,0.37,0.988,0.823,143.76,0.8648,0.52
71.62,86.17,2967,246.59,47.59,71.12,0,0.0183,349.17,206.38,0.364,0.012,0.585,0.848,0.931,68.0,0.7418,14.11
76.15,54.35,3143,38.9,28.07,137.65,0,0.0064,337.64,190.7,0.709,0.0148,0.543,0.898,0.859,78.5,0.7858,7.5
77.63,23.28,2137,159.86,51.92,86.92,1,0.015,330.99,120.31,-0.222,-0.0337,0.568,0.611,0.935,43.97,0.5343,11.43
